starttime,Survey start time,,,,
129,131,F3.0,Selected: 70,Guinea,
129,131,F3.0,Selected: 71,Guinea-Bissau,
129,131,F3.0,Selected: 72,Guyana,
129,131,F3.0,Selected: 73,Haiti,
129,131,F3.0,Selected: 74,Honduras,
129,131,F3.0,Selected: 75,Hungary,
129,131,F3.0,Selected: 76,Iceland,
129,131,F3.0,Selected: 77,India,
129,131,F3.0,Selected: 78,Indonesia,
129,131,F3.0,Selected: 79,Iran (Islamic Republic of),
129,131,F3.0,Selected: 80,Iraq,
129,131,F3.0,Selected: 81,Ireland,
129,131,F3.0,Selected: 82,Israel,
129,131,F3.0,Selected: 83,Italy,
129,131,F3.0,Selected: 84,Jamaica,
129,131,F3.0,Selected: 85,Japan,
129,131,F3.0,Selected: 86,Jordan,
129,131,F3.0,Selected: 87,Kazakhstan,
129,131,F3.0,Selected: 88,Kenya,
129,131,F3.0,Selected: 89,Kuwait,
129,131,F3.0,Selected: 90,Kyrgyzstan,
129,131,F3.0,Selected: 91,Lao People's Democratic Republic,
129,131,F3.0,Selected: 92,Latvia,
129,131,F3.0,Selected: 93,Lebanon,
129,131,F3.0,Selected: 94,Lesotho,
129,131,F3.0,Selected: 95,Liberia,
129,131,F3.0,Selected: 96,Libyan Arab Jamahiriya,
129,131,F3.0,Selected: 97,Liechtenstein,
129,131,F3.0,Selected: 98,Lithuania,
129,131,F3.0,Selected: 99,Luxembourg,
129,131,F3.0,Selected: 100,Madagascar,
129,131,F3.0,Selected: 101,Malawi,
129,131,F3.0,Selected: 102,Malaysia,
129,131,F3.0,Selected: 103,Maldives,
129,131,F3.0,Selected: 104,Mali,
129,131,F3.0,Selected: 105,Malta,
129,131,F3.0,Selected: 106,Marshall Islands,
129,131,F3.0,Selected: 107,Mauritania,
129,131,F3.0,Selected: 108,Mauritius,
129,131,F3.0,Selected: 109,Mexico,
129,131,F3.0,Selected: 110,Micronesia (Federated States of),
129,131,F3.0,Selected: 111,Monaco,
129,131,F3.0,Selected: 112,Mongolia,
129,131,F3.0,Selected: 113,Morocco,
129,131,F3.0,Selected: 114,Mozambique,
129,131,F3.0,Selected: 115,Myanmar,
129,131,F3.0,Selected: 116,Namibia,
129,131,F3.0,Selected: 117,Nepal,
129,131,F3.0,Selected: 118,Netherlands,
129,131,F3.0,Selected: 119,New Zealand,
129,131,F3.0,Selected: 120,Nicaragua,
129,131,F3.0,Selected: 121,Niger,
129,131,F3.0,Selected: 122,Nigeria,
129,131,F3.0,Selected: 123,Norway,
129,131,F3.0,Selected: 124,Oman,
129,131,F3.0,Selected: 125,Pakistan,
129,131,F3.0,Selected: 126,Palau,
129,131,F3.0,Selected: 127,Panama,
129,131,F3.0,Selected: 128,Papua New Guinea,
129,131,F3.0,Selected: 129,Paraguay,
129,131,F3.0,Selected: 130,Peru,
129,131,F3.0,Selected: 131,Philippines,
129,131,F3.0,Selected: 132,Poland,
129,131,F3.0,Selected: 133,Portugal,
129,131,F3.0,Selected: 134,Qatar,
129,131,F3.0,Selected: 135,Republic of Korea,
129,131,F3.0,Selected: 136,Republic of Moldova,
129,131,F3.0,Selected: 137,Romania,
129,131,F3.0,Selected: 138,Russian Federation,
129,131,F3.0,Selected: 139,Rwanda,
129,131,F3.0,Selected: 140,Saint Kitts and Nevis,
129,131,F3.0,Selected: 141,Saint Lucia,
129,131,F3.0,Selected: 142,Saint Vincent and the Grenadines,
129,131,F3.0,Selected: 143,Samoa,
129,131,F3.0,Selected: 144,San Marino,
129,131,F3.0,Selected: 145,Sao Tome and Principe,
129,131,F3.0,Selected: 146,Saudi Arabia,
129,131,F3.0,Selected: 147,Senegal,
129,131,F3.0,Selected: 148,Seychelles,
129,131,F3.0,Selected: 149,Sierra Leone,
129,131,F3.0,Selected: 150,Singapore,
129,131,F3.0,Selected: 151,Slovakia,
129,131,F3.0,Selected: 152,Slovenia,
129,131,F3.0,Selected: 153,Solomon Islands,
129,131,F3.0,Selected: 154,Somalia,
129,131,F3.0,Selected: 155,South Africa,
129,131,F3.0,Selected: 156,Spain,
129,131,F3.0,Selected: 157,Sri Lanka,
129,131,F3.0,Selected: 158,Sudan,
129,131,F3.0,Selected: 159,Suriname,
129,131,F3.0,Selected: 160,Swaziland,
129,131,F3.0,Selected: 161,Sweden,
129,131,F3.0,Selected: 162,Switzerland,
129,131,F3.0,Selected: 163,Syrian Arab Republic,
129,131,F3.0,Selected: 164,Taiwan,
129,131,F3.0,Selected: 165,Tajikistan,
129,131,F3.0,Selected: 166,Thailand,
129,131,F3.0,Selected: 167,Togo,
129,131,F3.0,Selected: 168,Trinidad and Tobago,
129,131,F3.0,Selected: 169,Tunisia,
129,131,F3.0,Selected: 170,Turkey,
129,131,F3.0,Selected: 171,Turkmenistan,
129,131,F3.0,Selected: 172,Uganda,
129,131,F3.0,Selected: 173,Ukraine,
129,131,F3.0,Selected: 174,United Arab Emirates,
129,131,F3.0,Selected: 175,United Kingdom of Great Britain and Northern Ireland,
129,131,F3.0,Selected: 176,United Republic of Tanzania,
129,131,F3.0,Selected: 177,Uruguay,
129,131,F3.0,Selected: 178,Uzbekistan,
129,131,F3.0,Selected: 179,Vanuatu,
129,131,F3.0,Selected: 180,Venezuela,
129,131,F3.0,Selected: 181,Viet Nam,
129,131,F3.0,Selected: 182,Yemen,
129,131,F3.0,Selected: 183,Yugoslavia,
129,131,F3.0,Selected: 184,Zambia,
129,131,F3.0,Selected: 185,Zimbabwe,
,,,,,
Qbirthday,birthday,,,,
132,141,DATE10,,,
,,,,,
QAge,Age,,,,
142,144,F3.0,,,
,,,,,
QGender,Gender,,,,
145,145,F1.0,Selected: 1,Male,
145,145,F1.0,Selected: 2,Female,
,,,,,
Qlang,What language do you primarily speak at home?,,,,
146,146,F1.0,Selected: 1,English,
146,146,F1.0,Selected: 2,French,
146,146,F1.0,Selected: 3,Spanish,
146,146,F1.0,Selected: 4,Other ,
,,,,,
Qlangother,OTHER - Other ,,,,
147,401,A255,,,
,,,,,
Qemployment,What is your current student and/or employment status?,,,,
402,402,F1.0,Checked: 1,Unchecked: 0,Student
403,403,F1.0,Checked: 2,Unchecked: 0,Employed Part-Time
404,404,F1.0,Checked: 3,Unchecked: 0,Employed Full-Time
405,405,F1.0,Checked: 4,Unchecked: 0,Not currently employed & not enrolled in school
406,406,F1.0,Checked: 5,Unchecked: 0,Retired
407,407,F1.0,Checked: 6,Unchecked: 0,Self-employed
,,,,,
Qschool,Are you attending a:,,,,
408,408,F1.0,Selected: 1,Middle or High School,
408,408,F1.0,Selected: 2,Community/Junior College or Trade school,
408,408,F1.0,Selected: 3,4-year Public College,
408,408,F1.0,Selected: 4,4-year Private College,
408,408,F1.0,Selected: 5,Advanced Degree Program,
408,408,F1.0,Selected: 6,Other,
,,,,,
Qschoolother,OTHER - Other,,,,
409,663,A255,,,
,,,,,
Qindustry,Which of the following best describes the industry in which you work?,,,,
664,665,F2.0,Selected: 1,Accounting,
664,665,F2.0,Selected: 2,Advertising/PR,
664,665,F2.0,Selected: 3,Agriculture,
664,665,F2.0,Selected: 4,Aerospace/Defense,
664,665,F2.0,Selected: 5,Arts/Entertainment,
664,665,F2.0,Selected: 6,Athletics/Sports,
664,665,F2.0,Selected: 7,Automotive,
664,665,F2.0,Selected: 8,Banking/Financial,
664,665,F2.0,Selected: 9,"Basic Materials - Metals, Minerals, Oil, Chemicals",
664,665,F2.0,Selected: 10,Business Services,
664,665,F2.0,Selected: 11,Communication,
664,665,F2.0,Selected: 12,Computer Electronic Equipment,
664,665,F2.0,Selected: 13,"Computer Software: Storage, Security, Internet",
664,665,F2.0,Selected: 14,Construction,
664,665,F2.0,Selected: 15,Consumer Products,
664,665,F2.0,Selected: 16,Dentistry,
664,665,F2.0,Selected: 17,Education,
664,665,F2.0,Selected: 18,Employment,
664,665,F2.0,Selected: 19,Engineering,
664,665,F2.0,Selected: 20,Equipment,
664,665,F2.0,Selected: 21,Fitness,
664,665,F2.0,Selected: 22,Food and Beverage,
664,665,F2.0,Selected: 23,Government,
664,665,F2.0,Selected: 24,Health care,
664,665,F2.0,Selected: 25,Hospitality,
664,665,F2.0,Selected: 26,Information Technology,
664,665,F2.0,Selected: 27,Industrial Goods,
664,665,F2.0,Selected: 28,Insurance,
664,665,F2.0,Selected: 29,Legal,
664,665,F2.0,Selected: 30,Manufacturing,
664,665,F2.0,Selected: 31,Market Research,
664,665,F2.0,Selected: 32,Marketing,
664,665,F2.0,Selected: 33,Military,
664,665,F2.0,Selected: 34,Non-profit/Charity,
664,665,F2.0,Selected: 35,Publishing/Printing/Media,
664,665,F2.0,Selected: 36,Real-Estate,
664,665,F2.0,Selected: 37,Recreation,
664,665,F2.0,Selected: 38,Retail,
664,665,F2.0,Selected: 39,Consumer Internet,
664,665,F2.0,Selected: 40,Training Consulting,
664,665,F2.0,Selected: 41,Transportation,
664,665,F2.0,Selected: 42,Utilities/Telecom,
664,665,F2.0,Selected: 43,Waste Management,
664,665,F2.0,Selected: 44,Wholesale,
664,665,F2.0,Selected: 45,None of the above,
664,665,F2.0,Selected: 46,Other ,
,,,,,
Qindustryother,OTHER - Other ,,,,
666,920,A255,,,
,,,,,
Qtitle,Which of these best describes your job title?,,,,
921,922,F2.0,Selected: 1,Business Owner,
921,922,F2.0,Selected: 2,C-level Executive,
921,922,F2.0,Selected: 3,V.P./Director,
921,922,F2.0,Selected: 4,Mid-level Management,
921,922,F2.0,Selected: 5,Entry-level,
921,922,F2.0,Selected: 6,Technical,
921,922,F2.0,Selected: 7,Sales,
921,922,F2.0,Selected: 8,Purchasing,
921,922,F2.0,Selected: 9,Human Resources,
921,922,F2.0,Selected: 10,Engineer,
921,922,F2.0,Selected: 11,Programmer,
921,922,F2.0,Selected: 12,Clerical/Administrative/Support Staff,
921,922,F2.0,Selected: 13,Military/Law Enforcement,
921,922,F2.0,Selected: 14,Foreman/Contractor,
921,922,F2.0,Selected: 15,Cook/Chef,
921,922,F2.0,Selected: 16,Unskilled Labor,
921,922,F2.0,Selected: 17,Teacher/Professor,
921,922,F2.0,Selected: 18,Psychologist/Counselor,
921,922,F2.0,Selected: 19,Medical Professional,
921,922,F2.0,Selected: 20,Lawyer,
921,922,F2.0,Selected: 21,CPA,
921,922,F2.0,Selected: 22,None of the above,
921,922,F2.0,Selected: 23,Other ,
,,,,,
Qtitleother,OTHER - Other ,,,,
923,1177,A255,,,
,,,,,
Qhhi,What is your annual household income range?,,,,
1178,1179,F2.0,Selected: 1,"Less than $15,000",
1178,1179,F2.0,Selected: 2,"$15,000 to $24,999",
1178,1179,F2.0,Selected: 3,"$25,000 to $49,999",
1178,1179,F2.0,Selected: 4,"$50,000 to $74,999",
1178,1179,F2.0,Selected: 5,"$75,000 to $99,999",
1178,1179,F2.0,Selected: 6,"$100,000 to $149,999",
1178,1179,F2.0,Selected: 7,"$150,000 to $199,999",
1178,1179,F2.0,Selected: 8,"$200,000 to $249,999",
1178,1179,F2.0,Selected: 9,"$250,000 to $499,999",
1178,1179,F2.0,Selected: 10,"$500,000 to $999,999",
1178,1179,F2.0,Selected: 11,$1 million +,
1178,1179,F2.0,Selected: 12,Prefer not to answer,
1178,1179,F2.0,Selected: 13,Not Sure,
,,,,,
Qethnicity,Which of the following best describes your ethnicity?,,,,
1180,1180,F1.0,Selected: 1,Black or African American,
1180,1180,F1.0,Selected: 2,"Asian, South East Asian",
1180,1180,F1.0,Selected: 3,White or Caucasian,
1180,1180,F1.0,Selected: 4,Eskimo or Pacific Islander,
1180,1180,F1.0,Selected: 5,Hispanic or Latino,
1180,1180,F1.0,Selected: 6,"Native American, Alaska Native, Aleutian",
1180,1180,F1.0,Selected: 7,Prefer not to answer,
1180,1180,F1.0,Selected: 8,Other ,
,,,,,
Qethnicityother,OTHER - Other ,,,,
1181,1435,A255,,,
,,,,,
Qethnicitycanada,Which of the following best describes your ethnicity?,,,,
1436,1437,F2.0,Selected: 1,Aboriginal,
1436,1437,F2.0,Selected: 2,Arab,
1436,1437,F2.0,Selected: 3,West Asian,
1436,1437,F2.0,Selected: 4,Black,
1436,1437,F2.0,Selected: 5,Caucasian,
1436,1437,F2.0,Selected: 6,Chinese,
1436,1437,F2.0,Selected: 7,Filipino,
1436,1437,F2.0,Selected: 8,Japanese,
1436,1437,F2.0,Selected: 9,Korean,
1436,1437,F2.0,Selected: 10,Latin,
1436,1437,F2.0,Selected: 11,Persian,
1436,1437,F2.0,Selected: 12,South Asian,
1436,1437,F2.0,Selected: 13,East Indian,
1436,1437,F2.0,Selected: 14,South East Asian,
1436,1437,F2.0,Selected: 15,Prefer not to answer,
1436,1437,F2.0,Selected: 16,Other ,
,,,,,
Qethnicitycanadaother,OTHER - Other ,,,,
1438,1692,A255,,,
,,,,,
Qmarital,What is your marital status?,,,,
1693,1693,F1.0,Selected: 1,"Single, never married",
1693,1693,F1.0,Selected: 2,Engaged,
1693,1693,F1.0,Selected: 3,Married,
1693,1693,F1.0,Selected: 4,Living with Partner,
1693,1693,F1.0,Selected: 5,Separated,
1693,1693,F1.0,Selected: 6,Divorced,
1693,1693,F1.0,Selected: 7,Widowed,
1693,1693,F1.0,Selected: 8,Civil Union / Civil Partnership,
1693,1693,F1.0,Selected: 9,Prefer not to answer,
,,,,,
Qchildren,Do you have any children under the age of 18 who currently live in your home?,,,,
1694,1694,F1.0,Selected: 1,Yes,
1694,1694,F1.0,Selected: 2,No,
,,,,,
Qchildrennumber,How many children under the age of 18 living in your home do you have?,,,,
1695,1695,F1.0,Selected: 1,1,
1695,1695,F1.0,Selected: 2,2,
1695,1695,F1.0,Selected: 3,3,
1695,1695,F1.0,Selected: 4,4,
1695,1695,F1.0,Selected: 5,5,
1695,1695,F1.0,Selected: 6,More than 5,
,,,,,
Qchild1,Child 1,,,,
1696,1696,F1.0,Selected: 1,Male,
1696,1696,F1.0,Selected: 2,Female,
,,,,,
Qchild1b,Child 1 Birthdate,,,,
1697,1706,DATE10,,,
,,,,,
Qchild2g,Child 2,,,,
1707,1707,F1.0,Selected: 1,Male,
1707,1707,F1.0,Selected: 2,Female,
,,,,,
Qchild2b,Child 2 Birthdate,,,,
1708,1717,DATE10,,,
,,,,,
Qchild3g,Child 3,,,,
1718,1718,F1.0,Selected: 1,Male,
1718,1718,F1.0,Selected: 2,Female,
,,,,,
Qchild3b,Child 3 Birthdate,,,,
1719,1728,DATE10,,,
,,,,,
Qchild4g,Child 4,,,,
1729,1729,F1.0,Selected: 1,Male,
1729,1729,F1.0,Selected: 2,Female,
,,,,,
Qchild4b,Child 4 Birthdate,,,,
1730,1739,DATE10,,,
,,,,,
Qchild5g,Child 5,,,,
1740,1740,F1.0,Selected: 1,Male,
1740,1740,F1.0,Selected: 2,Female,
,,,,,
Qchild5b,Child 5 Birthdate,,,,
1741,1750,DATE10,,,
,,,,,
Qpregnant,Are you currently pregnant?,,,,
1751,1751,F1.0,Selected: 1,Yes,
1751,1751,F1.0,Selected: 2,No but trying or planning to start trying in the next 12 months,
1751,1751,F1.0,Selected: 3,No,
,,,,,
Qduedate,What is your anticipated due date?,,,,
1752,1761,DATE10,,,
,,,,,
Qown,Which of the following do you own? (Please check all that apply),,,,
1762,1763,F2.0,Checked: 1,Unchecked: 0,Desktop or Laptop Computer
1764,1765,F2.0,Checked: 2,Unchecked: 0,Tablet PC/iPad
1766,1767,F2.0,Checked: 3,Unchecked: 0,DVD Player
1768,1769,F2.0,Checked: 4,Unchecked: 0,Blue-ray Player
1770,1771,F2.0,Checked: 5,Unchecked: 0,Cell Phone/Smart-phone/iPhone
1772,1773,F2.0,Checked: 6,Unchecked: 0,PDA
1774,1775,F2.0,Checked: 7,Unchecked: 0,iPod/MP3 Player
1776,1777,F2.0,Checked: 8,Unchecked: 0,Nintendo Gamecube
1778,1779,F2.0,Checked: 9,Unchecked: 0,Nintendo Wii
1780,1781,F2.0,Checked: 10,Unchecked: 0,Xbox or Xbox 360
1782,1783,F2.0,Checked: 11,Unchecked: 0,Xbox 360 with Live Subscription
1784,1785,F2.0,Checked: 12,Unchecked: 0,Xbox 360 with Kinect
1786,1787,F2.0,Checked: 13,Unchecked: 0,"Sony Play Station (PS2, PS3 or PSP)"
1788,1789,F2.0,Checked: 14,Unchecked: 0,"Electronic reading device (Kindle, Nook)"
1790,1791,F2.0,Checked: 15,Unchecked: 0,None of the above
,,,,,
Qphone,Who is the manufacturer of your primary wireless phone? ,,,,
1792,1793,F2.0,Selected: 1,Apple (iPhone),
1792,1793,F2.0,Selected: 2,AT&T (Cingular),
1792,1793,F2.0,Selected: 3,AudioVox,
1792,1793,F2.0,Selected: 4,Blackberry (RIM),
1792,1793,F2.0,Selected: 5,Casio,
1792,1793,F2.0,Selected: 6,Cricket,
1792,1793,F2.0,Selected: 7,Danger Hiptop,
1792,1793,F2.0,Selected: 8,Disney,
1792,1793,F2.0,Selected: 9,HTC,
1792,1793,F2.0,Selected: 10,Kyocera,
1792,1793,F2.0,Selected: 11,LG,
1792,1793,F2.0,Selected: 12,Motorola,
1792,1793,F2.0,Selected: 13,Nextel,
1792,1793,F2.0,Selected: 14,Nokia,
1792,1793,F2.0,Selected: 15,Palm,
1792,1793,F2.0,Selected: 16,PalmOne/Handspring,
1792,1793,F2.0,Selected: 17,Panasonic,
1792,1793,F2.0,Selected: 18,Pantech,
1792,1793,F2.0,Selected: 19,Qualcomm,
1792,1793,F2.0,Selected: 20,Samsung,
1792,1793,F2.0,Selected: 21,Sanyo,
1792,1793,F2.0,Selected: 22,Siemens,
1792,1793,F2.0,Selected: 23,Sony Ericsson,
1792,1793,F2.0,Selected: 24,Sprint,
1792,1793,F2.0,Selected: 25,TMobile,
1792,1793,F2.0,Selected: 26,Verizon,
1792,1793,F2.0,Selected: 27,Virgin,
1792,1793,F2.0,Selected: 28,I do not own a mobile/cell phone,
1792,1793,F2.0,Selected: 29,Other ,
,,,,,
Qphoneother,OTHER - Other ,,,,
1794,2048,A255,,,
,,,,,
Qphoneinvite,"In the future, we may offer the ability to receive survey invitations via text message. Is this something you may be interested in?",,,,
2049,2049,F1.0,Selected: 1,Yes,
2049,2049,F1.0,Selected: 2,No,
2049,2049,F1.0,Selected: 3,Maybe (Notify me when this becomes available and I'll decide then),
,,,,,
Qpurchase,Which of the following are you planning on purchasing in the next 12 months?,,,,
2050,2051,F2.0,Checked: 1,Unchecked: 0,Basic mobile device/cell phone: Voice with SMS (i.e. text messaging) only
2052,2053,F2.0,Checked: 2,Unchecked: 0,"Mobile device/cell phone with Advanced Features: basic Internet surfing, and texting."
2054,2055,F2.0,Checked: 3,Unchecked: 0,"Smart mobile device/cell phone: can install applications, send and receive email, and advanced internet surfing (Android, iPhone, Windows Mobile, Blackberry, etc.)"
2056,2057,F2.0,Checked: 4,Unchecked: 0,"Portable Gaming system (Game Boy, DS, PSP, etc.)"
2058,2059,F2.0,Checked: 5,Unchecked: 0,Portable DVD Player
2060,2061,F2.0,Checked: 6,Unchecked: 0,Portable Blu-ray Player
2062,2063,F2.0,Checked: 7,Unchecked: 0,Portable Media Player
2064,2065,F2.0,Checked: 8,Unchecked: 0,GPS/Navigation device
2066,2067,F2.0,Checked: 9,Unchecked: 0,Digital Camera
2068,2069,F2.0,Checked: 10,Unchecked: 0,"Digital video camera (MiniDV, DVD, HD, etc.)"
2070,2071,F2.0,Checked: 11,Unchecked: 0,"Music Player (iPod, Zune, MP3 player, etc.)"
2072,2073,F2.0,Checked: 12,Unchecked: 0,"Portable Radio (Boom Box, speakers for music player, etc.)"
2074,2075,F2.0,Checked: 13,Unchecked: 0,Portable Satellite Radio
2076,2077,F2.0,Checked: 14,Unchecked: 0,"Ebook-Reader (Kindle, Nook, etc.)"
2078,2079,F2.0,Checked: 15,Unchecked: 0,"Pocket Sized Computers (iTouch, PDA, Sony Mylo etc.)"
2080,2081,F2.0,Checked: 16,Unchecked: 0,Laptop Computer
2082,2083,F2.0,Checked: 17,Unchecked: 0,Netbook Computer
2084,2085,F2.0,Checked: 18,Unchecked: 0,"Tablet/Slate Computer (iPad, etc.)"
2086,2087,F2.0,Checked: 19,Unchecked: 0,Voice Recorder
2088,2089,F2.0,Checked: 20,Unchecked: 0,None of the above
,,,,,
Qonine,"Which of the following online activities, if any, do you regularly participate in? (Please select all that apply.)",,,,
2090,2091,F2.0,Checked: 1,Unchecked: 0,Maintain a Twitter presence with frequent tweets
2092,2093,F2.0,Checked: 2,Unchecked: 0,Maintain a Twitter presence but seldom tweet
2094,2095,F2.0,Checked: 3,Unchecked: 0,Maintain a Facebook profile
2096,2097,F2.0,Checked: 4,Unchecked: 0,Maintain a LinkedIn profile
2098,2099,F2.0,Checked: 5,Unchecked: 0,Maintain a Myspace page
2100,2101,F2.0,Checked: 6,Unchecked: 0,Maintain a personal blog
2102,2103,F2.0,Checked: 7,Unchecked: 0,Participate in an online dating site
2104,2105,F2.0,Checked: 8,Unchecked: 0,Maintain a family genealogy online
2106,2107,F2.0,Checked: 9,Unchecked: 0,Read and/or subscribe to online blogs
2108,2109,F2.0,Checked: 10,Unchecked: 0,Read and/or subscribe to Twitter feeds
2110,2111,F2.0,Checked: 11,Unchecked: 0,"Play online social games (Farmville, Mafia Wars, etc.)"
2112,2113,F2.0,Checked: 12,Unchecked: 0,Play multi-player online games or MMORPGS
2114,2115,F2.0,Checked: 13,Unchecked: 0,"Check in via location-based social networks (i.e. Foursquare, etc)"
2116,2117,F2.0,Checked: 14,Unchecked: 0,Instant Messaging
2118,2119,F2.0,Checked: 15,Unchecked: 0,None of these
,,,,,
Qwebcam,Do you currently own or have access to a Webcam in your home?,,,,
2120,2120,F1.0,Selected: 1,Yes,
2120,2120,F1.0,Selected: 2,No,
,,,,,
Qtoolbar,Would you be willing to download and run a toolbar or program that would track your online habits for research purposes only? (No personally identifiable information would be tracked.),,,,
2121,2121,F1.0,Selected: 1,Yes,
2121,2121,F1.0,Selected: 2,No,
2121,2121,F1.0,Selected: 3,Maybe,
,,,,,
Qmovies,"On average, how often do you watch movies at a theater/cinema?",,,,
2122,2122,F1.0,Selected: 1,Never,
2122,2122,F1.0,Selected: 2,1-4 times a year,
2122,2122,F1.0,Selected: 3,5-11 times a year,
2122,2122,F1.0,Selected: 4,Once a month,
2122,2122,F1.0,Selected: 5,More than once a month,
,,,,,
Qbeverages,What types of beverages do you regularly consume? (Please check all that apply),,,,
2123,2124,F2.0,Checked: 1,Unchecked: 0,Bottled Water
2125,2126,F2.0,Checked: 2,Unchecked: 0,Soda/Pop
2127,2128,F2.0,Checked: 3,Unchecked: 0,Coffee
2129,2130,F2.0,Checked: 4,Unchecked: 0,Tea
2131,2132,F2.0,Checked: 5,Unchecked: 0,Wine
2133,2134,F2.0,Checked: 6,Unchecked: 0,Champagne/Sparking WIne
2135,2136,F2.0,Checked: 7,Unchecked: 0,Beer
2137,2138,F2.0,Checked: 8,Unchecked: 0,Hard Liquor
2139,2140,F2.0,Checked: 9,Unchecked: 0,Cognac/Brandy
2141,2142,F2.0,Checked: 10,Unchecked: 0,Liqueur
2143,2144,F2.0,Checked: 11,Unchecked: 0,None of the above
,,,,,
Qbanking,Which of the following banking or financial products/services do you currently utilize? (Please select all that apply.),,,,
2145,2146,F2.0,Checked: 1,Unchecked: 0,Auto Loan
2147,2148,F2.0,Checked: 2,Unchecked: 0,Certificate of Deposit (CD)
2149,2150,F2.0,Checked: 3,Unchecked: 0,Checking Account
2151,2152,F2.0,Checked: 4,Unchecked: 0,"Credit Card (VISA, MasterCard, American Express, Discover, or store credit cardetc.)"
2153,2154,F2.0,Checked: 5,Unchecked: 0,Debit Card
2155,2156,F2.0,Checked: 6,Unchecked: 0,Home Equity Loan/Line of Credit
2157,2158,F2.0,Checked: 7,Unchecked: 0,Individual Stock or Bond Account
2159,2160,F2.0,Checked: 8,Unchecked: 0,Life Insurance (Term or Whole Life)
2161,2162,F2.0,Checked: 9,Unchecked: 0,Money Market Account
2163,2164,F2.0,Checked: 10,Unchecked: 0,Mortgage
2165,2166,F2.0,Checked: 11,Unchecked: 0,Mutual Fund Account
2167,2168,F2.0,Checked: 12,Unchecked: 0,Personal Loan/Line of Credit
2169,2170,F2.0,Checked: 13,Unchecked: 0,Recreational Vehicle Loan
2171,2172,F2.0,Checked: 14,Unchecked: 0,Savings Account
2173,2174,F2.0,Checked: 15,Unchecked: 0,None of the above
,,,,,
Qpets,"Which, if any, of the following pets or animals do you own? (Please select all that apply.)",,,,
2175,2176,F2.0,Checked: 1,Unchecked: 0,Bird
